time,x,y,z
478.00000000000006,-2457808.8654847955,5990036.223098559,2296268.962387905
480.00000000000006,-2455890.9003471844,5985292.059738614,2310617.992086451
482.0,-2453960.85001381,5980518.444097921,2324955.620149672
484.00000000000006,-2452018.7240489307,5975715.3998301225,2339281.775889728
486.0,-2450064.532076588,5970882.9507345855,2353596.3886766364
488.00000000000006,-2448098.283780559,5966021.120756277,2367899.3879386224
490.0,-2446119.988904303,5961129.9339856375,2382190.703162478
492.00000000000006,-2444129.657250909,5956209.41465845,2396470.263893911
494.0000000000001,-2442127.2986830464,5951259.587155713,2410737.9997379025
496.00000000000006,-2440112.923122908,5946280.476003508,2424993.8403590564
498.0000000000001,-2438086.54055216,5941272.105872871,2439237.715481954
500.00000000000006,-2436048.161011887,5936234.50157966,2453469.554891506
502.0000000000001,-2433997.79460254,5931167.688084419,2467689.2884333036
504.00000000000006,-2431935.4514838816,5926071.69049225,2481896.8460139697
506.0000000000001,-2429861.141874932,5920946.534052678,2496092.157601511
508.00000000000006,-2427774.876053914,5915792.244159515,2510275.1532256682
510.00000000000006,-2425676.664358198,5910608.846350722,2524445.762978265
511.99999999999994,-2423566.517184249,5905396.36630828,2538603.91701356
514.0,-2421444.444987569,5900154.829858047,2552749.545548594
516.0,-2419310.4582826416,5894884.262969621,2566882.578863541
518.0,-2417164.567642877,5889584.691756206,2581002.947302055
520.0,-2415006.7837005537,5884256.142474465,2595110.58127162
522.0,-2412837.117146765,5878898.641524389,2609205.411243896
524.0,-2410655.578731359,5873512.2154491525,2623287.3677550675
526.0,-2408462.179262884,5868096.890934968,2637356.3814061903
528.0,-2406256.9296085294,5862652.694810952,2651412.3828635383
530.0,-2404039.8406940675,5857179.654048975,2665455.3028589496
532.0,-2401810.9235037966,5851677.795763522,2679485.0721901716
534.0,-2399570.1890804823,5846147.14721155,2693501.621721206
536.0,-2397317.648525299,5840587.735792337,2707504.882382655
538.0,-2395053.31299777,5834999.589047341,2721494.7851720667
540.0,-2392777.1937157093,5829382.734660051,2735471.261154275
542.0,-2390489.301955162,5823737.200455842,2749434.2414617487
544.0,-2388189.6490503433,5818063.014401827,2763383.6572949304
546.0,-2385878.2463935795,5812360.204606707,2777319.439922581
548.0,-2383555.1054352475,5806628.799320623,2791241.5206821226
550.0,-2381220.2376837134,5800868.8269350035,2805149.830979979
552.0,-2378873.6547052716,5795080.315982417,2819044.3022919195
554.0,-2376515.368124085,5789263.29513642,2832924.8661633967
556.0,-2374145.389622121,5783417.793211403,2846791.45420989
558.0,-2371763.730939092,5777543.83916244,2860643.998117245
560.0,-2369370.4038723907,5771641.462085132,2874482.429642012
562.0,-2366965.42027703,5765710.691215454,2888306.680611787
564.0,-2364548.79206558,5759751.555929603,2902116.6829255507
566.0,-2362120.531208102,5753764.085743838,2915912.3685540054
568.0,-2359680.6497320905,5747748.310314325,2929693.669539914
570.0,-2357229.159722404,5741704.259436983,2943460.5179984374
572.0,-2354766.073321205,5735631.96304732,2957212.8461174723
574.0,-2352291.402727895,5729531.4512202805,2970950.5861579864
576.0,-2349805.160199049,5723402.7541700825,2984673.670454356
578.0,-2347307.358048351,5717245.902250061,2998382.031414701
580.0,-2344798.0086465306,5711060.925952503,3012075.6015212205
582.0,-2342277.1244212957,5704847.8559084935,3025754.3133305283
584.0,-2339744.7178572686,5698606.722887743,3039418.099473986
586.0,-2337200.8014959185,5692337.557798434,3053066.892658038
588.0,-2334645.387935497,5686040.391687055,3066700.625664545
590.0,-2332078.4898309708,5679715.255738234,3080319.231351116
592.0,-2329500.119893955,5673362.181274578,3093922.642651443
594.0,-2326910.2908926466,5666981.199756503,3107510.79257563
596.0,-2324309.015651757,5660572.342782074,3121083.6142105274
598.0,-2321696.3070524437,5654135.642086829,3134641.0407200633
600.0,-2319072.1780322455,5647671.129543625,3148183.005345572
602.0,-2316436.64158501,5641178.837162456,3161709.4414061257
604.0,-2313789.7107608286,5634658.797090293,3175220.282298865
606.0,-2311131.3986659665,5628111.041610913,3188715.4614993264
608.0,-2308461.718462795,5621535.603144728,3202194.9125617733
610.0,-2305780.6833697204,5614932.514248611,3215658.569119523
612.0,-2303088.3066611164,5608301.807615733,3229106.3648852734
614.0,-2300384.6016672533,5601643.516075381,3242538.2336514345
616.0,-2297669.5817742287,5594957.6725927945,3255954.109290452
618.0,-2294943.260423897,5588244.310268984,3269353.925755135
620.0,-2292205.651113799,5581503.462340563,3282737.6170789804
622.0,-2289456.76739709,5574735.162179569,3296105.117376502
624.0,-2286696.6228824705,5567939.443293291,3309456.3608435523
626.0,-2283925.2312341146,5561116.339324092,3322791.2817576486
628.0,-2281142.6061715973,5554265.884049232,3336109.814478297
630.0,-2278348.7614698224,5547388.111380693,3349411.893447315
632.0,-2275543.7109589525,5540483.055364996,3362697.4531891565
634.0,-2272727.4685243354,5533550.750183029,3375966.428311233
636.0,-2269900.0481064296,5526591.230149861,3389218.7535042367
638.0,-2267061.4637007345,5519604.529714568,3402454.363542462
640.0,-2264211.729357716,5512590.683460047,3415673.1932841246
642.0,-2261350.859182732,5505549.726102837,3428875.1776716867
644.0,-2258478.8673359603,5498481.69249294,3442060.2517321734
646.0,-2255595.768032322,5491386.617613633,3455228.350577493
648.0,-2252701.575541411,5484264.536581288,3468379.409404759
650.0,-2249796.3041874166,5477115.484645187,3481513.3634966044
652.0,-2246879.96834905,5469939.497187338,3494630.1482215035
654.0,-2243952.582459468,5462736.60972229,3507729.6990340888
656.0,-2241014.161006199,5455506.857896946,3520811.9514754675
658.0,-2238064.718531067,5448250.27749038,3533876.841173538
660.0,-2235104.269630116,5440966.904413643,3546924.303843308
662.0,-2232132.828953532,5433656.774709584,3559954.2752872077
664.0,-2229150.41120557,5426319.924552654,3572966.6913954085
666.0,-2226157.0311444746,5418956.3902487205,3585961.4881461337
668.0,-2223152.703582404,5411566.208234879,3598938.6016059755
670.0,-2220137.443385354,5404149.41507926,3611897.967930208
672.0,-2217111.2654730766,5396706.04748084,3624839.5233631
674.0,-2214074.184819008,5389236.142269249,3637763.204238228
676.0,-2211026.216450188,5381739.736404578,3650668.9469787893
678.0,-2207967.375447179,5374216.866977188,3663556.6880979114
680.0,-2204897.6769439927,5366667.571207514,3676426.3641989655
682.0,-2201817.1361280074,5359091.8864458725,3689277.9119758764
684.0,-2198725.7682398916,5351489.850172268,3702111.2682134314
686.0,-2195623.5885735224,5343861.499996195,3714926.369787592
688.0,-2192510.6124759084,5336206.873656442,3727723.153665802
690.0,-2189386.855347109,5328526.009020901,3740501.556907295
692.0,-2186252.332640153,5320818.944086362,3753261.516663404
